Name,Years Alive,Fields of Contribution,Short Description,Detailed Description
Al-Khwarizmi,780-850 (approximate),"Mathematics, Astronomy, Geography",Developing algebra and introducing Hindu-Arabic numerals to the West,"Al-Khwarizmi's work on algebra (the word ""algebra"" comes from the title of his book ""Al-Jabr"") laid the foundations for this branch of mathematics. He introduced the decimal positional number system to the Western world and developed the concept of the algorithm (which is derived from his name). His geographical work included coordinating the project to determine Earth's circumference."
Ibn al-Nafis,1210-1288,"Medicine, Anatomy, Physiology",Discovering pulmonary circulation,"Ibn al-Nafis was the first to describe the pulmonary circulation of the blood, challenging Galen's incorrect theory that had dominated medicine for over a millennium. His treatise, a commentary on Ibn Sina's Canon, accurately described how blood moves from the right to the left side of the heart through the lungs, where it mixes with air. This discovery predated European descriptions by nearly 300 years."
Abbas ibn Firnas,810-887 (approximate),"Aviation, Engineering, Poetry, Chemistry",Early experiments in human flight,"Abbas ibn Firnas was a polymath who made the first documented attempt at controlled flight. In his 70s, he constructed a flying machine made of silk and eagle feathers and flew from a hill near Cordoba, staying aloft for a considerable time before crash-landing. He also developed techniques for cutting rock crystal, created a planetarium, and made improvements to the water clock."
Fatima al-Fihri,9th century,"Education, Philanthropy",Founding the world's first university,"Fatima al-Fihri founded Al-Qarawiyin University in Fez, Morocco, using her own fortune. Established in 859 CE, it is recognized by UNESCO and Guinness World Records as the oldest continuously operating university in the world. The institution began as a mosque and developed into a major educational center that attracted scholars and students from across the Muslim world and beyond."
Al-Battani,858-929,"Astronomy, Mathematics",Precise astronomical observations and trigonometric developments,"Al-Battani made remarkably accurate astronomical observations, correcting some of Ptolemy's calculations. He determined the solar year as 365 days, 5 hours, 46 minutes and 24 seconds, which is very close to modern values. He developed trigonometric ratios used today and produced new, more precise astronomical tables. His work was highly influential in Europe during the Renaissance."
Ibn Rushd,1126-1198,"Philosophy, Medicine, Astronomy, Law, Theology",Commentaries on Aristotle and contributions to philosophy,"Ibn Rushd was a master of philosophy, law, medicine, and astronomy. His commentaries on Aristotle preserved and reinterpreted Greek philosophy for both the Islamic and Christian worlds. He defended the use of reason in religious interpretation and made significant contributions to medicine, including work on the function of the retina and the existence of immunity."
Maryam al-Ijliya,10th century,"Astronomy, Engineering",Constructing astrolabes,"Maryam al-Ijliya was an astrolabe maker who worked in Aleppo, Syria during the reign of Sayf al-Dawla. She was known for her skill in designing and constructing these complex astronomical instruments, which were used for navigation, timekeeping, and astronomical observations. Her expertise in this precision craft was recognized by the court, highlighting the role of women in scientific and technical fields."
Thabit ibn Qurra,826-901,"Mathematics, Astronomy, Mechanics, Medicine, Philosophy",Contributions to number theory and translations of Greek works,"Thabit ibn Qurra made significant contributions to mathematics, including work on number theory where he discovered a beautiful theorem regarding amicable numbers. He translated and revised many Greek scientific works, making them accessible to the Arabic-speaking world. His work in astronomy included improvements to the theory of the motion of the sun, moon, and planets."
Al-Farabi,872-950 (approximate),"Philosophy, Logic, Music, Political Science",Synthesizing Greek and Islamic philosophy,"Al-Farabi, known as ""the Second Teacher"" (after Aristotle), developed a comprehensive philosophical system that integrated Greek philosophy with Islamic thought. He made significant contributions to logic, political philosophy, and music theory, developing musical notation and improving musical instruments. His works on the perfect state and classification of sciences influenced both Eastern and Western thought."
Al-Razi,854-925,"Medicine, Chemistry, Philosophy",Pioneering clinical medicine and discovering numerous compounds,"Al-Razi was a pioneering physician who established the foundation of clinical medicine. He was the first to distinguish between smallpox and measles, wrote the first book on pediatrics, and developed early forms of distillation apparatus. In chemistry, he classified substances into animal, vegetable, and mineral, discovered numerous compounds, and developed methods for chemical experimentation."
